"","Categories","Brand_Description","Price","NumberOfReviews","ReviewStars"
"28","Computers & Accessories","Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)","67.","238,581  ","4.7 out of 5 stars"
"29","Computers & Accessories","952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN","79.","14,196  ","4.7 out of 5 stars"
"30","Computers & Accessories","63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN","50.","50,304  ","4.7 out of 5 stars"
"31","Computers & Accessories","256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA","24.","74,901  ","4.8 out of 5 stars"
"32","Computers & Accessories","C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black","69.","18,188  ","4.6 out of 5 stars"
"33","Computers & Accessories","128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN","20.","35,020  ","4.8 out of 5 stars"
"34","Computers & Accessories","2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8","6.","51,596  ","4.6 out of 5 stars"
"35","Computers & Accessories","EVO Select Micro SD-Memory-Card + Adapter, 512GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME512KA/AM)","34.","75,177  ","4.7 out of 5 stars"
"36","Computers & Accessories","Screen Protector for iPad 9th 8th 7th Generation (10.2 Inch, iPad 9/8/7, 2021&2020&2019) Tempered Glass/Apple Pencil Compatible [2 Pack]","7.","30,897  ","4.6 out of 5 stars"
"37","Computers & Accessories","24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)","99.","31,185  ","4.6 out of 5 stars"
"38","Computers & Accessories","H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black","21.","57,916  ","4.4 out of 5 stars"
"39","Computers & Accessories","Dual Monitor Stand - Adjustable Spring Monitor Desk Mount Swivel Vesa Bracket with C Clamp, Grommet Mounting Base for 13 to 30 Inch Computer Screens - Each Arm Holds 4.4 to 19.8lbs","59.","24,437  ","4.6 out of 5 stars"
"40","Computers & Accessories","N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling","39.","37,599  ","4.3 out of 5 stars"
"41","Computers & Accessories","USB C Charger Cable [2 Pack, 6ft], 310 Type C Charger Cable Fast Charging, Braided USB A to USB C Cable for Samsung Galaxy Note 10 Note 9/S10+ S10, LG V30 (USB 2.0, Black)","9.","8,078  ","4.7 out of 5 stars"
"42","Computers & Accessories","Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Portable, Slim Design, Kid Friendly, Sturdy Metal Frame, Expandable Storage, Long Lasting Battery, US Version, 2021, Gray","","18,292  ","4.5 out of 5 stars"
"43","Computers & Accessories","Genuine TN760 High Yield Black Toner Cartridge, (for use with MFC-L2710DW MFC-L2750DW HL-L2350DW HL-L2370DW HL-L2395DW HL-L2390DW DCP-L2550DW Printers)","70.","15,755  ","4.7 out of 5 stars"
"44","Computers & Accessories","WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E","127.","12,635  ","4.8 out of 5 stars"
"45","Computers & Accessories","952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN","57.","15,618  ","4.7 out of 5 stars"
"46","Computers & Accessories","iPhone 15 Charger USB C Wall Charger iPad Pro Charger Type C Charger Block 2 Pack with 2 Pack 6FT Cable for iPhone 15/15 Plus/15 Pro/15 Pro Max/iPad Pro/Mini/Air/Air4/AirPods/Samsung","9.","1,899  ","4.4 out of 5 stars"
"47","Computers & Accessories","902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN","50.","22,745  ","4.6 out of 5 stars"
"48","Computers & Accessories","Xbox Wireless Headset – Xbox Series X|S, Xbox One, and Windows Devices","89.","11,687  ","4.5 out of 5 stars"
